tsne_x,tsne_y,file_name,sound_type,id,gender,age,native_language,country,health,grid_x,grid_y
0.63959646,0.21175218,f1236_0_sigh,sigh,f1236, female,27, United States of America, EN, no,0.3076923076923077,0.1258741258741259
0.47047117,0.75315547,f1541_0_throatclearing,throatclearing,f1541, female,25, United States of America, EN, no,0.07692307692307693,0.8881118881118881
0.98442274,0.13757579,m1679_0_sniff,sniff,m1679, male,34, United States of America, EN, no,1.0,0.32167832167832167
0.50587136,0.7190007,m1783_0_throatclearing,throatclearing,m1783, male,19, United Arab Erimates, AR, no,0.20279720279720279,0.7972027972027972
0.11926981,0.438183,f1291_0_laughter,laughter,f1291, female,23, Italy, IT, no,0.09090909090909091,0.38461538461538464
0.8679628,0.6011643,m0209_0_sneeze,sneeze,m0209, male,39, Brazil, PT, no,0.972027972027972,0.7342657342657343
0.11948667,0.4996271,f1284_0_laughter,laughter,f1284, female,38, France, FR, no,0.06993006993006994,0.6923076923076923
0.6166946,0.23563871,m1037_0_sigh,sigh,m1037, male,28, Italy, IT, no,0.27972027972027974,0.15384615384615385
0.70482796,0.7899107,m0019_0_cough,cough,m0019, male,23, Brazil, PT, no,0.6223776223776224,0.8111888111888111
0.21057087,0.4350966,f2769_0_laughter,laughter,f2769, female,34, United Kingdom, EN, yes,0.18181818181818182,0.3356643356643357
0.8236967,0.17506604,m1329_0_sniff,sniff,m1329, male,33, India, TA, no,0.7062937062937062,0.24475524475524477
0.5875218,0.67006516,m2930_0_throatclearing,throatclearing,m2930, male,21, Italy, IT, no,0.3356643356643357,0.6713286713286714
0.7906649,0.13950121,f2769_0_sniff,sniff,f2769, female,34, United Kingdom, EN, yes,0.5734265734265734,0.13986013986013987
0.7632423,0.51726156,f1956_2_sneeze,sneeze,f1956, female,24, United States of America, EN, no,0.7272727272727273,0.5594405594405595
0.05796101,0.371868,f0998_0_laughter,laughter,f0998, female,30, United States of America, EN, no,0.03496503496503497,0.13986013986013987
0.11165199,0.43734327,m2523_0_laughter,laughter,m2523, male,34, India, TA, no,0.08391608391608392,0.38461538461538464
0.08745919,0.5001783,m2536_0_laughter,laughter,m2536, male,31, United States of America, EN, no,0.027972027972027972,0.7132867132867133
0.89791626,0.17784813,f2899_0_sniff,sniff,f2899, female,41, United States of America, EN, no,0.8951048951048951,0.3006993006993007
0.78266233,0.54823214,f1216_0_sneeze,sneeze,f1216, female,50, United States of America, EN, no,0.8041958041958042,0.6433566433566433
0.7165879,0.43615776,m1528_0_sigh,sigh,m1528, male,26, India, TA, no,0.6083916083916084,0.43356643356643354
0.4580598,0.76626056,f2985_0_throatclearing,throatclearing,f2985, female,26, Italy, IT, no,0.03496503496503497,0.9300699300699301
0.57648295,0.64381146,m1770_0_throatclearing,throatclearing,m1770, male,23, Italy, IT, no,0.3076923076923077,0.6293706293706294
0.76258004,0.5434665,f0716_0_sneeze,sneeze,f0716, female,25, United States of America, EN, no,0.7342657342657343,0.6083916083916084
0.76678973,0.51757735,f1941_1_sneeze,sneeze,f1941, female,45, United States of America, EN, no,0.7482517482517482,0.5664335664335665
0.82954633,0.37073928,f0743_0_sneeze,sneeze,f0743, female,28, India, BN, no,0.9230769230769231,0.42657342657342656
0.7371218,0.71240795,m1794_0_cough,cough,m1794, male,34, Brazil, PT, no,0.7692307692307693,0.7272727272727273
0.6505498,0.29675883,m3123_0_cough,cough,m3123, male,38, India, EN, yes,0.4405594405594406,0.27972027972027974
0.86383057,0.068330556,f0511_0_sniff,sniff,f0511, female,24, United States of America, EN, no,0.7132867132867133,0.06993006993006994
0.748778,0.34665024,f0748_0_sigh,sigh,f0748, female,53, United States of America, ES, no,0.6013986013986014,0.35664335664335667
0.891804,0.27759326,m0186_0_cough,cough,m0186, male,56, United States of America, EN, no,1.0,0.43356643356643354
0.7847727,0.10042087,m2743_0_sniff,sniff,m2743, male,29, United States of America, EN, no,0.5104895104895105,0.06293706293706294
0.7701689,0.916676,m2731_0_cough,cough,m2731, male,35, Pakistan, UR, no,0.8461538461538461,0.993006993006993
0.71791154,0.5595062,m2047_0_sneeze,sneeze,m2047, male,40, India, HI, no,0.6363636363636364,0.6153846153846154
0.8022148,0.09822376,f1303_0_sniff,sniff,f1303, female,50, United States of America, EN, no,0.5594405594405595,0.08391608391608392
0.17131454,0.5246322,m0563_2_cough,cough,m0563, male,45, United States of America, EN, no,0.1048951048951049,0.7272727272727273
0.7821701,0.9347398,f2684_0_cough,cough,f2684, female,30, Canada, EN, no,0.8811188811188811,1.0
0.65105736,0.8172103,f1621_0_cough,cough,f1621, female,53, United States of America, EN, no,0.5034965034965035,0.8321678321678322
0.13542391,0.43015176,m0262_0_laughter,laughter,m0262, male,42, United States of America, EN, no,0.11188811188811189,0.3356643356643357
0.725715,0.82450485,m2261_0_cough,cough,m2261, male,33, United Kingdom, EN, no,0.6853146853146853,0.8391608391608392
0.8040492,0.8340445,m0618_0_throatclearing,throatclearing,m0618, male,27, United States of America, EN, no,0.9300699300699301,0.8251748251748252
0.83880985,0.08763862,f1653_0_sniff,sniff,f1653, female,43, United States of America, EN, no,0.6573426573426573,0.09090909090909091
0.7594595,0.28198707,f2558_0_sneeze,sneeze,f2558, female,22, United States of America, EN, no,0.5944055944055944,0.2937062937062937
0.14841083,0.40569168,f0028_0_laughter,laughter,f0028, female,51, United States of America, EN, no,0.14685314685314685,0.2867132867132867
0.700313,0.15698224,m0056_0_sigh,sigh,m0056, male,25, Italy, IT, no,0.4405594405594406,0.07692307692307693
0.8272234,0.88364977,m1864_0_cough,cough,m1864, male,22, United Kingdom, EN, no,0.972027972027972,0.951048951048951
0.638167,0.29070315,m2393_0_sigh,sigh,m2393, male,22, Brazil, PT, no,0.3986013986013986,0.26573426573426573
0.6626541,0.190042,f2192_0_sigh,sigh,f2192, female,25, United States of America, EN, no,0.3776223776223776,0.11188811188811189
0.5493599,0.4892915,m0587_0_sneeze,sneeze,m0587, male,64, United States of America, EN, no,0.27972027972027974,0.45454545454545453
0.67091477,0.3920273,f2368_0_laughter,laughter,f2368, female,18, United States of America, EN, no,0.4825174825174825,0.3776223776223776
0.58908516,0.55411816,m0973_0_sneeze,sneeze,m0973, male,37, United States of America, EN, no,0.3076923076923077,0.5734265734265734
0.59537274,0.79296815,f0627_0_throatclearing,throatclearing,f0627, female,55, United States of America, EN, no,0.34965034965034963,0.8321678321678322
0.05647949,0.39538854,f1685_0_laughter,laughter,f1685, female,25, United States of America, EN, no,0.04195804195804196,0.25874125874125875
0.8489882,0.25523514,m0882_0_sniff,sniff,m0882, male,62, United States of America, EN, no,0.8531468531468531,0.36363636363636365
0.13318883,0.40002498,f1690_0_laughter,laughter,f1690, female,19, United States of America, EN, no,0.1258741258741259,0.27972027972027974
0.64177084,0.5621518,f0067_0_sneeze,sneeze,f0067, female,22, United States of America, EN, no,0.4405594405594406,0.5944055944055944
0.47170302,0.755071,f1352_0_throatclearing,throatclearing,f1352, female,44, United States of America, EN, no,0.08391608391608392,0.8881118881118881
0.074528374,0.35028973,f0674_0_laughter,laughter,f0674, female,38, United States of America, EN, yes,0.055944055944055944,0.027972027972027972
0.9118548,0.12650548,f1585_0_sniff,sniff,f1585, female,34, United Kingdom, SW, no,0.8671328671328671,0.23776223776223776
0.65937376,0.967324,f3340_0_cough,cough,f3340, female,39, United States of America, EN, no,0.4825174825174825,0.993006993006993
0.8975126,0.04807588,m0772_0_sniff,sniff,m0772, male,37, United States of America, EN, no,0.7832167832167832,0.04895104895104895
0.87501645,0.4953894,m1190_0_throatclearing,throatclearing,m1190, male,42, Canada, EN, no,1.0,0.5384615384615384
0.7314324,0.8183699,m0700_0_cough,cough,m0700, male,30, India, HI, no,0.7062937062937062,0.8321678321678322
0.7840219,0.1676965,f3332_0_sniff,sniff,f3332, female,29, United States of America, EN, no,0.5734265734265734,0.16783216783216784
0.06322589,0.36782604,f0661_0_laughter,laughter,f0661, female,40, United States of America, EN, no,0.03496503496503497,0.11188811188811189
0.6220198,0.18142012,m1762_0_sigh,sigh,m1762, male,28, Brazil, PT, no,0.2097902097902098,0.055944055944055944
0.08255624,0.36057228,f2890_0_laughter,laughter,f2890, female,36, United Kingdom, EN, no,0.06993006993006994,0.08391608391608392
0.7344774,0.7062327,m1112_0_cough,cough,m1112, male,27, United States of America, EN, no,0.7552447552447552,0.7272727272727273
0.11414941,0.41832975,f2885_0_laughter,laughter,f2885, female,38, United States of America, EN, no,0.0979020979020979,0.32867132867132864
0.78635883,0.12482627,f2520_0_sniff,sniff,f2520, female,24, United States of America, EN, no,0.5454545454545454,0.1048951048951049
0.108939104,0.4305316,m2137_0_laughter,laughter,m2137, male,24, Brazil, PT, no,0.08391608391608392,0.35664335664335667
0.77536064,0.35582128,m0578_0_sneeze,sneeze,m0578, male,37, United States of America, EN, no,0.6993006993006993,0.3916083916083916
0.8392179,0.061464496,m0222_0_sniff,sniff,m0222, male,32, India, TA, no,0.6293706293706294,0.03496503496503497
0.5609149,0.7367687,f0450_0_throatclearing,throatclearing,f0450, female,25, United States of America, EN, no,0.3006993006993007,0.7692307692307693
0.72237897,0.3185102,m2495_0_sniff,sniff,m2495, male,34, United States of America, EN, no,0.5664335664335665,0.32867132867132864
0.63695973,0.7314322,m0250_0_cough,cough,m0250, male,40, United States of America, EN, no,0.46153846153846156,0.7622377622377622
0.8255125,0.53563225,f1939_0_sneeze,sneeze,f1939, female,69, United States of America, EN, no,0.9020979020979021,0.6363636363636364
0.7728167,0.7538916,m1442_0_cough,cough,m1442, male,51, United States of America, EN, no,0.8811188811188811,0.7482517482517482
0.16723414,0.4527975,m2892_0_laughter,laughter,m2892, male,19, United States of America, EN, no,0.15384615384615385,0.4405594405594406
0.065261655,0.4786192,m2887_0_laughter,laughter,m2887, male,27, United States of America, EN, no,0.006993006993006993,0.6083916083916084
0.1025852,0.3538045,f2120_0_laughter,laughter,f2120, female,34, United States of America, ZH, no,0.09090909090909091,0.055944055944055944
0.6146005,0.8253312,f1201_0_sigh,sigh,f1201, female,31, Italy, IT, no,0.3776223776223776,0.8601398601398601
